category,item_key,name,qty,notes,aliexpress_url,amazon_url,pcbway_url,other_urls,all_urls
Fasteners,socket-head-cap-screw-2,Socket head cap Screw,-,1410pcs M3M4M5,https://s.click.aliexpress.com/e/_c4CtzBjJ,https://geni.us/XJ9Pwm | https://geni.us/XJ9Pwm,,,https://s.click.aliexpress.com/e/_c4CtzBjJ | https://geni.us/XJ9Pwm | https://geni.us/XJ9Pwm
Fasteners,countersunk-socket-head-cap-screw,Countersunk Socket Head Cap Screw,-,"3045pcs - M2, M3, M4, M5, M6, M8",https://s.click.aliexpress.com/e/_c4dPOZ2H,https://geni.us/cZwP7Io | https://geni.us/cZwP7Io,,,https://s.click.aliexpress.com/e/_c4dPOZ2H | https://geni.us/cZwP7Io | https://geni.us/cZwP7Io
Fasteners,m3-nuts,M3 Nuts,-,,https://s.click.aliexpress.com/e/_c3q5tc0H,https://geni.us/dmXnT | https://geni.us/FQHhQ,,,https://s.click.aliexpress.com/e/_c3q5tc0H | https://geni.us/dmXnT | https://geni.us/FQHhQ
Fasteners,spacer-m3x6,Spacer M3x6,8,,https://s.click.aliexpress.com/e/_c35zcQwx,https://geni.us/V6oq4,,,https://s.click.aliexpress.com/e/_c35zcQwx | https://geni.us/V6oq4
Fasteners,spacer-m3x20,Spacer M3x20,4,,https://s.click.aliexpress.com/e/_c39f9bzv,https://geni.us/V6oq4,,,https://s.click.aliexpress.com/e/_c39f9bzv | https://geni.us/V6oq4
Filament,pc-asa-abs-petg-filament,PC / ASA / ABS / PETG Filament,-,,https://s.click.aliexpress.com/e/_c3TLvFW9,https://geni.us/enf7pY | https://geni.us/enf7pY,,,https://s.click.aliexpress.com/e/_c3TLvFW9 | https://geni.us/enf7pY | https://geni.us/enf7pY
Filament,pc-cf-petg-cf-pa-cf-abs-engineering-grade-filaments,PC-CF / PETG-CF / PA-CF / ABS+ (Engineering Grade Filaments),-,,https://s.click.aliexpress.com/e/_c3sc5Ef3,https://geni.us/khjmN | https://geni.us/khjmN,,,https://s.click.aliexpress.com/e/_c3sc5Ef3 | https://geni.us/khjmN | https://geni.us/khjmN
Filament,pla,PLA,-,,https://s.click.aliexpress.com/e/_c3lakGcl,https://geni.us/pBQCzkI | https://geni.us/pBQCzkI,,,https://s.click.aliexpress.com/e/_c3lakGcl | https://geni.us/pBQCzkI | https://geni.us/pBQCzkI
Filament,tpu,TPU,-,,https://s.click.aliexpress.com/e/_c4mEXgLb,https://geni.us/NGlAPc | https://geni.us/NGlAPc,,,https://s.click.aliexpress.com/e/_c4mEXgLb | https://geni.us/NGlAPc | https://geni.us/NGlAPc
Tools,soldering-iron-ts101,Soldering Iron TS101,-,(Recommended),https://s.click.aliexpress.com/e/_c2QmV6QP,https://geni.us/rPNNHLD | https://geni.us/rPNNHLD,,,https://s.click.aliexpress.com/e/_c2QmV6QP | https://geni.us/rPNNHLD | https://geni.us/rPNNHLD
Tools,heat-inset-tip-kit-for-ts101,Heat Inset Tip Kit - For TS101,-,(Recommended),https://s.click.aliexpress.com/e/_c4oAQMU5,https://geni.us/hrT4m82 | https://geni.us/hrT4m82,,,https://s.click.aliexpress.com/e/_c4oAQMU5 | https://geni.us/hrT4m82 | https://geni.us/hrT4m82
Tools,electric-precision-screwdriver,Electric Precision Screwdriver,-,(Recommended),https://s.click.aliexpress.com/e/_c4WbOjBf,https://geni.us/ckKSnm | https://geni.us/ckKSnm,,,https://s.click.aliexpress.com/e/_c4WbOjBf | https://geni.us/ckKSnm | https://geni.us/ckKSnm
Tools,allen-key-set,Allen Key Set,-,(Recommended),https://s.click.aliexpress.com/e/_c4dcwKsN,https://geni.us/DTXl | https://geni.us/DTXl,,,https://s.click.aliexpress.com/e/_c4dcwKsN | https://geni.us/DTXl | https://geni.us/DTXl
Tools,torx-key-set,Torx Key Set,-,(Recommended),https://s.click.aliexpress.com/e/_c3zbLorL,https://geni.us/35Em2C | https://geni.us/35Em2C,,,https://s.click.aliexpress.com/e/_c3zbLorL | https://geni.us/35Em2C | https://geni.us/35Em2C
Tools,torque-screwdriver,Torque Screwdriver,-,(Recommended),https://s.click.aliexpress.com/e/_c39Zxrt7,https://geni.us/ckKSnm | https://geni.us/ckKSnm,,,https://s.click.aliexpress.com/e/_c39Zxrt7 | https://geni.us/ckKSnm | https://geni.us/ckKSnm
Tools,wire-stripper,Wire stripper,-,(Recommended),,https://geni.us/SvNtLpP | https://geni.us/SvNtLpP,,,https://geni.us/SvNtLpP | https://geni.us/SvNtLpP
Tools,wire-cutter,Wire cutter,-,(Recommended),https://s.click.aliexpress.com/e/_c2yogYf1,https://geni.us/TFzOR4 | https://geni.us/TFzOR4,,,https://s.click.aliexpress.com/e/_c2yogYf1 | https://geni.us/TFzOR4 | https://geni.us/TFzOR4
Tools,heat-insert-press-tool,Heat Insert Press Tool,-,(Recommended),https://s.click.aliexpress.com/e/_c3ljOLkX,https://geni.us/g0yu0 | https://geni.us/g0yu0,,,https://s.click.aliexpress.com/e/_c3ljOLkX | https://geni.us/g0yu0 | https://geni.us/g0yu0
Tools,crimp-tool,Crimp Tool,-,(Recommended),https://s.click.aliexpress.com/e/_c4VtpJeL,https://geni.us/RH6Ac9 | https://geni.us/RH6Ac9,,,https://s.click.aliexpress.com/e/_c4VtpJeL | https://geni.us/RH6Ac9 | https://geni.us/RH6Ac9
Tools,soldering-iron-generic-alternative,Soldering Iron - Generic (Alternative),-,Budget friendly alternative,https://s.click.aliexpress.com/e/_c4sOxkox,https://geni.us/Drzhe7o | https://geni.us/Drzhe7o,,,https://s.click.aliexpress.com/e/_c4sOxkox | https://geni.us/Drzhe7o | https://geni.us/Drzhe7o
Tools,heat-insert-tip-set-alternative,Heat insert tip - set (Alternative),-,Budget friendly alternative,https://s.click.aliexpress.com/e/_c4V88eu7,https://geni.us/aAqQH | https://geni.us/aAqQH,,,https://s.click.aliexpress.com/e/_c4V88eu7 | https://geni.us/aAqQH | https://geni.us/aAqQH
Tools,precision-screwdriver-set,Precision Screwdriver Set,-,Budget friendly alternative,https://s.click.aliexpress.com/e/_c3bHpwH9,https://geni.us/Kk4tgSV | https://geni.us/Kk4tgSV,,,https://s.click.aliexpress.com/e/_c3bHpwH9 | https://geni.us/Kk4tgSV | https://geni.us/Kk4tgSV
